Rijbewijscategorie;Leeftijd rijbewijshouder;Perioden;Regio's;Personen met rijbewijs (aantal)
Autorijbewijs totaal;Totaal;2024;Nederland;11657142
Autorijbewijs totaal;16 tot 18 jaar;2024;Nederland;14195
Autorijbewijs totaal;18 tot 20 jaar;2024;Nederland;182333
Autorijbewijs totaal;20 tot 25 jaar;2024;Nederland;789050
Autorijbewijs totaal;25 tot 30 jaar;2024;Nederland;877053
Autorijbewijs totaal;30 tot 40 jaar;2024;Nederland;1906272
Autorijbewijs totaal;40 tot 50 jaar;2024;Nederland;1828527
Autorijbewijs totaal;50 tot 60 jaar;2024;Nederland;2237374
Autorijbewijs totaal;60 tot 65 jaar;2024;Nederland;1069700
Autorijbewijs totaal;65 tot 70 jaar;2024;Nederland;913875
Autorijbewijs totaal;70 tot 75 jaar;2024;Nederland;781166
Autorijbewijs totaal;75 jaar of ouder;2024;Nederland;1057597
Autorijbewijs excl. aanhangerrijbewijs;Totaal;2024;Nederland;7332080
Autorijbewijs excl. aanhangerrijbewijs;16 tot 18 jaar;2024;Nederland;14195
Autorijbewijs excl. aanhangerrijbewijs;18 tot 20 jaar;2024;Nederland;178471
Autorijbewijs excl. aanhangerrijbewijs;20 tot 25 jaar;2024;Nederland;749499
Autorijbewijs excl. aanhangerrijbewijs;25 tot 30 jaar;2024;Nederland;815797
Autorijbewijs excl. aanhangerrijbewijs;30 tot 40 jaar;2024;Nederland;1720529
Autorijbewijs excl. aanhangerrijbewijs;40 tot 50 jaar;2024;Nederland;1596127
Autorijbewijs excl. aanhangerrijbewijs;50 tot 60 jaar;2024;Nederland;1769700
Autorijbewijs excl. aanhangerrijbewijs;60 tot 65 jaar;2024;Nederland;239474
Autorijbewijs excl. aanhangerrijbewijs;65 tot 70 jaar;2024;Nederland;113497
Autorijbewijs excl. aanhangerrijbewijs;70 tot 75 jaar;2024;Nederland;63045
Autorijbewijs excl. aanhangerrijbewijs;75 jaar of ouder;2024;Nederland;71746
Autorijbewijs incl. aanhangerrijbewijs;Totaal;2024;Nederland;4325062
Autorijbewijs incl. aanhangerrijbewijs;16 tot 18 jaar;2024;Nederland;
Autorijbewijs incl. aanhangerrijbewijs;18 tot 20 jaar;2024;Nederland;3862
Autorijbewijs incl. aanhangerrijbewijs;20 tot 25 jaar;2024;Nederland;39551
Autorijbewijs incl. aanhangerrijbewijs;25 tot 30 jaar;2024;Nederland;61256
Autorijbewijs incl. aanhangerrijbewijs;30 tot 40 jaar;2024;Nederland;185743
Autorijbewijs incl. aanhangerrijbewijs;40 tot 50 jaar;2024;Nederland;232400
Autorijbewijs incl. aanhangerrijbewijs;50 tot 60 jaar;2024;Nederland;467674
Autorijbewijs incl. aanhangerrijbewijs;60 tot 65 jaar;2024;Nederland;830226
Autorijbewijs incl. aanhangerrijbewijs;65 tot 70 jaar;2024;Nederland;800378
Autorijbewijs incl. aanhangerrijbewijs;70 tot 75 jaar;2024;Nederland;718121
Autorijbewijs incl. aanhangerrijbewijs;75 jaar of ouder;2024;Nederland;985851
Busrijbewijs totaal;Totaal;2024;Nederland;203992
Busrijbewijs totaal;16 tot 18 jaar;2024;Nederland;
Busrijbewijs totaal;18 tot 20 jaar;2024;Nederland;25
Busrijbewijs totaal;20 tot 25 jaar;2024;Nederland;505
Busrijbewijs totaal;25 tot 30 jaar;2024;Nederland;1488
Busrijbewijs totaal;30 tot 40 jaar;2024;Nederland;6552
Busrijbewijs totaal;40 tot 50 jaar;2024;Nederland;10166
Busrijbewijs totaal;50 tot 60 jaar;2024;Nederland;30408
Busrijbewijs totaal;60 tot 65 jaar;2024;Nederland;53333
Busrijbewijs totaal;65 tot 70 jaar;2024;Nederland;49453
Busrijbewijs totaal;70 tot 75 jaar;2024;Nederland;29845
Busrijbewijs totaal;75 jaar of ouder;2024;Nederland;22217
Busrijbewijs excl. aanhangerrijbewijs;Totaal;2024;Nederland;24821
Busrijbewijs excl. aanhangerrijbewijs;16 tot 18 jaar;2024;Nederland;
Busrijbewijs excl. aanhangerrijbewijs;18 tot 20 jaar;2024;Nederland;21
Busrijbewijs excl. aanhangerrijbewijs;20 tot 25 jaar;2024;Nederland;394
Busrijbewijs excl. aanhangerrijbewijs;25 tot 30 jaar;2024;Nederland;1035
Busrijbewijs excl. aanhangerrijbewijs;30 tot 40 jaar;2024;Nederland;4110
Busrijbewijs excl. aanhangerrijbewijs;40 tot 50 jaar;2024;Nederland;4840
Busrijbewijs excl. aanhangerrijbewijs;50 tot 60 jaar;2024;Nederland;7793
Busrijbewijs excl. aanhangerrijbewijs;60 tot 65 jaar;2024;Nederland;3702
Busrijbewijs excl. aanhangerrijbewijs;65 tot 70 jaar;2024;Nederland;1880
Busrijbewijs excl. aanhangerrijbewijs;70 tot 75 jaar;2024;Nederland;606
Busrijbewijs excl. aanhangerrijbewijs;75 jaar of ouder;2024;Nederland;440
Busrijbewijs incl. aanhangerrijbewijs;Totaal;2024;Nederland;179171
Busrijbewijs incl. aanhangerrijbewijs;16 tot 18 jaar;2024;Nederland;
Busrijbewijs incl. aanhangerrijbewijs;18 tot 20 jaar;2024;Nederland;4
Busrijbewijs incl. aanhangerrijbewijs;20 tot 25 jaar;2024;Nederland;111
Busrijbewijs incl. aanhangerrijbewijs;25 tot 30 jaar;2024;Nederland;453
Busrijbewijs incl. aanhangerrijbewijs;30 tot 40 jaar;2024;Nederland;2442
Busrijbewijs incl. aanhangerrijbewijs;40 tot 50 jaar;2024;Nederland;5326
Busrijbewijs incl. aanhangerrijbewijs;50 tot 60 jaar;2024;Nederland;22615
Busrijbewijs incl. aanhangerrijbewijs;60 tot 65 jaar;2024;Nederland;49631
Busrijbewijs incl. aanhangerrijbewijs;65 tot 70 jaar;2024;Nederland;47573
Busrijbewijs incl. aanhangerrijbewijs;70 tot 75 jaar;2024;Nederland;29239
Busrijbewijs incl. aanhangerrijbewijs;75 jaar of ouder;2024;Nederland;21777
Bromfietsrijbewijs;Totaal;2024;Nederland;11858698
Bromfietsrijbewijs;16 tot 18 jaar;2024;Nederland;61097
Bromfietsrijbewijs;18 tot 20 jaar;2024;Nederland;203491
Bromfietsrijbewijs;20 tot 25 jaar;2024;Nederland;804336
Bromfietsrijbewijs;25 tot 30 jaar;2024;Nederland;883249
Bromfietsrijbewijs;30 tot 40 jaar;2024;Nederland;1918276
Bromfietsrijbewijs;40 tot 50 jaar;2024;Nederland;1843331
Bromfietsrijbewijs;50 tot 60 jaar;2024;Nederland;2262436
Bromfietsrijbewijs;60 tot 65 jaar;2024;Nederland;1083670
Bromfietsrijbewijs;65 tot 70 jaar;2024;Nederland;927873
Bromfietsrijbewijs;70 tot 75 jaar;2024;Nederland;793050
Bromfietsrijbewijs;75 jaar of ouder;2024;Nederland;1077889
Motorrijbewijs;Totaal;2024;Nederland;1543946
Motorrijbewijs;16 tot 18 jaar;2024;Nederland;
Motorrijbewijs;18 tot 20 jaar;2024;Nederland;1085
Motorrijbewijs;20 tot 25 jaar;2024;Nederland;28095
Motorrijbewijs;25 tot 30 jaar;2024;Nederland;69988
Motorrijbewijs;30 tot 40 jaar;2024;Nederland;217887
Motorrijbewijs;40 tot 50 jaar;2024;Nederland;235407
Motorrijbewijs;50 tot 60 jaar;2024;Nederland;414559
Motorrijbewijs;60 tot 65 jaar;2024;Nederland;207257
Motorrijbewijs;65 tot 70 jaar;2024;Nederland;141612
Motorrijbewijs;70 tot 75 jaar;2024;Nederland;90290
Motorrijbewijs;75 jaar of ouder;2024;Nederland;137766
Vrachtautorijbewijs totaal;Totaal;2024;Nederland;524391
Vrachtautorijbewijs totaal;16 tot 18 jaar;2024;Nederland;
Vrachtautorijbewijs totaal;18 tot 20 jaar;2024;Nederland;1362
Vrachtautorijbewijs totaal;20 tot 25 jaar;2024;Nederland;12633
Vrachtautorijbewijs totaal;25 tot 30 jaar;2024;Nederland;21352
Vrachtautorijbewijs totaal;30 tot 40 jaar;2024;Nederland;65346
Vrachtautorijbewijs totaal;40 tot 50 jaar;2024;Nederland;81914
Vrachtautorijbewijs totaal;50 tot 60 jaar;2024;Nederland;146489
Vrachtautorijbewijs totaal;60 tot 65 jaar;2024;Nederland;75930
Vrachtautorijbewijs totaal;65 tot 70 jaar;2024;Nederland;58962
Vrachtautorijbewijs totaal;70 tot 75 jaar;2024;Nederland;34209
Vrachtautorijbewijs totaal;75 jaar of ouder;2024;Nederland;26194
Vrachtauto- excl. aanhangerrijbewijs;Totaal;2024;Nederland;140494
Vrachtauto- excl. aanhangerrijbewijs;16 tot 18 jaar;2024;Nederland;
Vrachtauto- excl. aanhangerrijbewijs;18 tot 20 jaar;2024;Nederland;412
Vrachtauto- excl. aanhangerrijbewijs;20 tot 25 jaar;2024;Nederland;3497
Vrachtauto- excl. aanhangerrijbewijs;25 tot 30 jaar;2024;Nederland;7216
Vrachtauto- excl. aanhangerrijbewijs;30 tot 40 jaar;2024;Nederland;23287
Vrachtauto- excl. aanhangerrijbewijs;40 tot 50 jaar;2024;Nederland;27033
Vrachtauto- excl. aanhangerrijbewijs;50 tot 60 jaar;2024;Nederland;51292
Vrachtauto- excl. aanhangerrijbewijs;60 tot 65 jaar;2024;Nederland;14305
Vrachtauto- excl. aanhangerrijbewijs;65 tot 70 jaar;2024;Nederland;7003
Vrachtauto- excl. aanhangerrijbewijs;70 tot 75 jaar;2024;Nederland;3322
Vrachtauto- excl. aanhangerrijbewijs;75 jaar of ouder;2024;Nederland;3127
Vrachtauto- incl. aanhangerrijbewijs;Totaal;2024;Nederland;383897
Vrachtauto- incl. aanhangerrijbewijs;16 tot 18 jaar;2024;Nederland;
Vrachtauto- incl. aanhangerrijbewijs;18 tot 20 jaar;2024;Nederland;950
Vrachtauto- incl. aanhangerrijbewijs;20 tot 25 jaar;2024;Nederland;9136
Vrachtauto- incl. aanhangerrijbewijs;25 tot 30 jaar;2024;Nederland;14136
Vrachtauto- incl. aanhangerrijbewijs;30 tot 40 jaar;2024;Nederland;42059
Vrachtauto- incl. aanhangerrijbewijs;40 tot 50 jaar;2024;Nederland;54881
Vrachtauto- incl. aanhangerrijbewijs;50 tot 60 jaar;2024;Nederland;95197
Vrachtauto- incl. aanhangerrijbewijs;60 tot 65 jaar;2024;Nederland;61625
Vrachtauto- incl. aanhangerrijbewijs;65 tot 70 jaar;2024;Nederland;51959
Vrachtauto- incl. aanhangerrijbewijs;70 tot 75 jaar;2024;Nederland;30887
Vrachtauto- incl. aanhangerrijbewijs;75 jaar of ouder;2024;Nederland;23067