"Personen met een rijbewijs; rijbewijscategorie, leeftijd, regio, 1 januari";;;;;;;;;;;;
Regio's: Nederland;;;;;;;;;;;;
;;;;;;;;;;;;
;Onderwerp;Personen met rijbewijs;Personen met rijbewijs;Personen met rijbewijs;Personen met rijbewijs;Personen met rijbewijs;Personen met rijbewijs;Personen met rijbewijs;Personen met rijbewijs;Personen met rijbewijs;Personen met rijbewijs;Personen met rijbewijs
;Rijbewijscategorie;Autorijbewijs totaal;Autorijbewijs excl. aanhangerrijbewijs;Autorijbewijs incl. aanhangerrijbewijs;Busrijbewijs totaal;Busrijbewijs excl. aanhangerrijbewijs;Busrijbewijs incl. aanhangerrijbewijs;Bromfietsrijbewijs;Motorrijbewijs;Vrachtautorijbewijs totaal;Vrachtauto- excl. aanhangerrijbewijs;Vrachtauto- incl. aanhangerrijbewijs
Perioden;Leeftijd rijbewijshouder;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal
2020;Totaal;11300119;6694612;4605507;239133;23608;215525;11490382;1472628;536647;133213;403434
2020;16 tot 18 jaar;18425;18425;;;;;59032;;;;
2020;18 tot 20 jaar;208847;204429;4418;21;18;3;226470;823;1251;306;945
2020;20 tot 25 jaar;763585;728136;35449;520;430;90;776930;23342;10859;2908;7951
2020;25 tot 30 jaar;886152;823669;62483;1881;1374;507;896224;70300;22203;7937;14266
2020;30 tot 40 jaar;1796426;1617997;178429;6495;3970;2525;1805984;192698;64186;21917;42269
2020;40 tot 50 jaar;1950545;1698703;251842;12875;5390;7485;1970537;286855;104275;36872;67403
2020;50 tot 60 jaar;2268768;1261245;1007523;72414;8126;64288;2296056;439529;166145;46943;119202
2020;60 tot 65 jaar;980886;133081;847805;60135;2462;57673;995453;159697;72149;8543;63606
2020;65 tot 70 jaar;851026;76902;774124;48960;1192;47768;864309;103554;54991;4564;50427
2020;70 tot 75 jaar;772875;42796;730079;22323;300;22023;782830;81976;24838;1735;23103
2020;75 jaar of ouder;802584;89229;713355;13509;346;13163;816557;113854;15750;1488;14262
2021;Totaal;11437849;6855808;4582041;223728;23953;199775;11635562;1493590;523540;133070;390470
2021;16 tot 18 jaar;12122;12122;;;;;50425;;;;
2021;18 tot 20 jaar;186936;183086;3850;26;24;2;208473;781;1128;302;826
2021;20 tot 25 jaar;769600;734593;35007;488;404;84;783566;23384;10619;2717;7902
2021;25 tot 30 jaar;880544;819464;61080;1811;1330;481;890562;68281;21385;7570;13815
2021;30 tot 40 jaar;1822780;1643728;179052;6582;4076;2506;1832760;197112;64176;22093;42083
2021;40 tot 50 jaar;1911049;1666342;244707;12084;5201;6883;1930213;269857;96310;33029;63281
2021;50 tot 60 jaar;2290807;1422920;867887;59834;8233;51601;2318428;442065;161886;49356;112530
2021;60 tot 65 jaar;1005070;149531;855539;57922;2794;55128;1019613;172432;71231;9407;61824
2021;65 tot 70 jaar;865311;85352;779959;45874;1183;44691;879252;111832;52317;4760;47557
2021;70 tot 75 jaar;806284;48552;757732;23951;354;23597;817141;85313;26895;2128;24767
2021;75 jaar of ouder;887346;90118;797228;15156;354;14802;905129;122533;17593;1708;15885
2022;Totaal;11444831;6967567;4477264;214148;23722;190426;11642850;1504509;518265;134077;384188
2022;16 tot 18 jaar;10063;10063;;;;;48451;;;;
2022;18 tot 20 jaar;171507;167752;3755;9;6;3;194993;759;1117;343;774
2022;20 tot 25 jaar;772732;736637;36095;416;340;76;787803;24153;10699;2840;7859
2022;25 tot 30 jaar;870378;809796;60582;1611;1165;446;878825;68050;20724;7141;13583
2022;30 tot 40 jaar;1838800;1658558;180242;6512;4022;2490;1849328;202704;64158;22279;41879
2022;40 tot 50 jaar;1867810;1629796;238014;11198;4968;6230;1885232;254270;89354;30080;59274
2022;50 tot 60 jaar;2283838;1559785;724053;48779;8051;40728;2310681;437167;157617;50756;106861
2022;60 tot 65 jaar;1025522;167627;857895;56674;3036;53638;1039816;185050;72240;10634;61606
2022;65 tot 70 jaar;877898;93878;784020;46387;1358;45029;891938;120501;53521;5343;48178
2022;70 tot 75 jaar;785923;52069;733854;24936;402;24534;796863;84223;28272;2483;25789
2022;75 jaar of ouder;940360;81606;858754;17626;374;17252;958920;127632;20563;2178;18385
2023;Totaal;11528476;7136919;4391557;207640;23905;183735;11730876;1522081;518672;136305;382367
2023;16 tot 18 jaar;13197;13197;;;;;59256;;;;
2023;18 tot 20 jaar;178174;174495;3679;9;6;3;199288;872;1218;411;807
2023;20 tot 25 jaar;780726;742920;37806;437;344;93;796251;26287;11802;3273;8529
2023;25 tot 30 jaar;868382;807936;60446;1545;1092;453;875716;68731;20877;7137;13740
2023;30 tot 40 jaar;1867411;1684585;182826;6403;3988;2415;1878703;209830;64423;22540;41883
2023;40 tot 50 jaar;1836944;1603260;233684;10551;4852;5699;1852990;242373;84327;27841;56486
2023;50 tot 60 jaar;2269352;1680022;589330;39332;7854;31478;2295457;428306;152892;51532;101360
2023;60 tot 65 jaar;1046994;195820;851174;54985;3309;51676;1061015;196533;73382;12049;61333
2023;65 tot 70 jaar;892910;102867;790043;47432;1567;45865;907068;130482;55599;6002;49597
2023;70 tot 75 jaar;779338;57028;722310;27104;489;26615;790625;86015;30881;2866;28015
2023;75 jaar of ouder;995048;74789;920259;19842;404;19438;1014507;132652;23271;2654;20617
2024;Totaal;11657142;7332080;4325062;203992;24821;179171;11858698;1543946;524391;140494;383897
2024;16 tot 18 jaar;14195;14195;;;;;61097;;;;
2024;18 tot 20 jaar;182333;178471;3862;25;21;4;203491;1085;1362;412;950
2024;20 tot 25 jaar;789050;749499;39551;505;394;111;804336;28095;12633;3497;9136
2024;25 tot 30 jaar;877053;815797;61256;1488;1035;453;883249;69988;21352;7216;14136
2024;30 tot 40 jaar;1906272;1720529;185743;6552;4110;2442;1918276;217887;65346;23287;42059
2024;40 tot 50 jaar;1828527;1596127;232400;10166;4840;5326;1843331;235407;81914;27033;54881
2024;50 tot 60 jaar;2237374;1769700;467674;30408;7793;22615;2262436;414559;146489;51292;95197
2024;60 tot 65 jaar;1069700;239474;830226;53333;3702;49631;1083670;207257;75930;14305;61625
2024;65 tot 70 jaar;913875;113497;800378;49453;1880;47573;927873;141612;58962;7003;51959
2024;70 tot 75 jaar;781166;63045;718121;29845;606;29239;793050;90290;34209;3322;30887
2024;75 jaar of ouder;1057597;71746;985851;22217;440;21777;1077889;137766;26194;3127;23067
Bron: CBS;;;;;;;;;;;;